M'gann M'orzz, character, 3646
Friends to Lovers, freeform, 219365
Slow Burn, freeform, 228482
Team Bonding, freeform, 7863
Alien Culture, freeform, 3743
Post-Traumatic Stress Disorder - PTSD, freeform, 125725
Implied/Referenced Child Abuse, freeform, 84685
Fluff and Angst, freeform, 321414
Romance, freeform, 595935
Eventual Romance, freeform, 53128
Teen Romance, freeform, 19814
First Love, freeform, 18896
Other Additional Tags to Be Added, freeform, 212287
Clark Kent/Lois Lane, relationship, 3381
Lois Lane, character, 6899
Lex Luthor, character, 8858
Lana Lang, character, 1233
Chloe Sullivan, character, 2113
Friendship, freeform, 657399
Canon Related, freeform, 125506
Love, freeform, 577255
John Diggle, character, 6470
Thea Queen, character, -2
Steve Rogers, character, 196765
Natasha Romanov (Marvel), character, 123804
Tony Stark, character, 195360
Pepper Potts, character, 47890
James "Rhodey" Rhodes, character, 25590
Sam Wilson (Marvel), character, 60070
Thor (Marvel), character, 70410
James "Bucky" Barnes, character, 145357
Clint Barton, character, 101416
Bruce Banner, character, 65586
Time Skips, freeform, 21620
Domestic Fluff, freeform, 182809
Husbands, freeform, 6405
pure fluff, freeform, 2069751
One Shot, freeform, 304987
Post-Canon, freeform, 205863
Bart Allen, character, 4468
Coffee, freeform, 8455
Humor, freeform, 507701
Crack, freeform, 177726
Rough Sex, freeform, 131116
Creampie, freeform, 45187
Age Difference, freeform, 71713
Barry Allen/Iris West, relationship, 4751
Gift Giving, freeform, 8668
Multiverse, freeform, 7866
Missing Scene, freeform, 50508
Jim Gordon, character, 7242
Roman Sionis, character, 1550
Selina Kyle, character, 8122
POV First Person, freeform, 44416
Politics, freeform, 21544
Police, freeform, 17606
Drugs, freeform, 152280
Corruption, freeform, 9039
Merlin (Merlin), character, 37590
Mordred (Merlin), character, 2851
Gaius (Merlin), character, 7668
Angst, freeform, 1719761
Developing Relationship, freeform, 72859
Merlin/Arthur Pendragon (Merlin), relationship, 26729
Morgana (Merlin), character, 11290
Arthur Pendragon (Merlin), character, 33312
Art, freeform, 100803
Serious Injuries, freeform, 8349
Broken Bones, freeform, 8491
Canon Era, freeform, 14306
Blood, freeform, 282692
Protective Arthur, freeform, 2299
Murder, freeform, 82247
Crazy, freeform, 3216
Insanity, freeform, 12518
Madness, freeform, 3668
Horror, freeform, 72486
Infidelity, freeform, 64013
Vampires, freeform, 75333
Blood Drinking, freeform, 24834
Temporary Character Death, freeform, 26336
Halloween, freeform, 34065
Swearing, freeform, 116806
Additional Warnings In Author's Note, freeform, 17573
Alternate Universe - Canon, freeform, 490726
Alternate Universe - Childhood Friends, freeform, 4989
Childhood Friends, freeform, 42132
Arranged Marriage, freeform, 28509
Knights of the Round Table (Merlin), character, 2043
Modern Era, freeform, 302555
Gwen (Merlin), character, 11966
Merlin, character, 50348
angsty, freeform, 1719761
Angst and Hurt/Comfort, freeform, 109649
Merlin/Arthur Pendragon, relationship, 31559
Uther Pendragon (Merlin), character, 5510
Gwaine (Merlin), character, 11159
Percival (Merlin), character, 5670
Leon (Merlin), character, 7000
Elyan (Merlin), character, 4344
Oral Sex, freeform, 497179
Anal Sex, freeform, 300163
Outdoor Sex, freeform, 14430
Idiots in Love, freeform, 94562
Original Male Character(s), character, 161319
Bondage, freeform, 113612
Rimming, freeform, 72953
Threesome - M/M/M, freeform, 37694
